plan_attributes_PUF-2
StandardComponentId,PlanMarketingName,URLForSummaryofBenefitsCoverage
16842FL0260017,BlueOptions Bronze 24J01-17 ($50 PCP Visits / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/24J01-17.pdf
16842FL0260018,BlueOptions Bronze 24J01-18S ($50 PCP Visits / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/24J01-18S.pdf
16842FL0260019,BlueOptions Silver 24J01-19S ($40 PCP Visits / $80 Specialist Visits / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/24J01-19S.pdf
16842FL0260020,BlueOptions Gold 24J01-20S ($30 PCP Visits / $60 Specialist Visits / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/24J01-20S.pdf
16842FL0260021,BlueOptions Platinum 24J01-21S ($0 Deductible / $10 PCP Visits / $20 Specialist Visits / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/24J01-21S.pdf
16842FL0310001,BlueSelect Gold 1535V ($0 Deductible / $15 PCP Visits / $75 Specialist Visits / $20 Labs / Adult Vision / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/1535V.pdf
16842FL0310004,BlueSelect Silver 1443V ($10 Labs / Adult Vision / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/1443V.pdf
16842FL0310014,BlueSelect Bronze 2139V ($50 PCP Visits / Adult Vision / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/2139V.pdf
16842FL0320004,BlueSelect Silver 1443E ($10 Labs / Adult Dental & Vision / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/1443E.pdf
16842FL0320014,BlueSelect Bronze 2139E ($50 PCP Visits / Adult Dental & Vision / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/2139E.pdf
19898FL0340001,AvMed Entrust Gold 125 (2026),https://apps.avmed.com/Public/OHBRFileManager/DownloadFile.aspx?filePath=%2Fpresales%2FAvMed%2F2026%2FSBC%2FIFP%2FAVINHG165101260625.pdf
19898FL0340003,AvMed Entrust Silver 350 (2026),https://apps.avmed.com/Public/OHBRFileManager/DownloadFile.aspx?filePath=%2Fpresales%2FAvMed%2F2026%2FSBC%2FIFP%2FAVINHS165801260625.pdf
19898FL0340005,AvMed Entrust Silver 550 (2026),https://apps.avmed.com/Public/OHBRFileManager/DownloadFile.aspx?filePath=%2Fpresales%2FAvMed%2F2026%2FSBC%2FIFP%2FAVINHS166001260625.pdf
19898FL0340006,AvMed Entrust Bronze 600 (2026),https://apps.avmed.com/Public/OHBRFileManager/DownloadFile.aspx?filePath=%2Fpresales%2FAvMed%2F2026%2FSBC%2FIFP%2FAVINHB164901260625.pdf
19898FL0340007,AvMed Entrust Bronze 650 (2026),https://apps.avmed.com/Public/OHBRFileManager/DownloadFile.aspx?filePath=%2Fpresales%2FAvMed%2F2026%2FSBC%2FIFP%2FAVINHB165001260625.pdf
19898FL0340020,AvMed Entrust Platinum 25 (2026),https://apps.avmed.com/Public/OHBRFileManager/DownloadFile.aspx?filePath=%2Fpresales%2FAvMed%2F2026%2FSBC%2FIFP%2FAVINHP165401260625.pdf
19898FL0340062,AvMed Entrust Platinum Standard (2026),https://apps.avmed.com/Public/OHBRFileManager/DownloadFile.aspx?filePath=%2Fpresales%2FAvMed%2F2026%2FSBC%2FIFP%2FAVINHP165601260625.pdf
19898FL0340071,AvMed Entrust Gold Standard (2026),https://apps.avmed.com/Public/OHBRFileManager/DownloadFile.aspx?filePath=%2Fpresales%2FAvMed%2F2026%2FSBC%2FIFP%2FAVINHG165301260625.pdf
19898FL0340081,AvMed Entrust Silver Standard (2026),https://apps.avmed.com/Public/OHBRFileManager/DownloadFile.aspx?filePath=%2Fpresales%2FAvMed%2F2026%2FSBC%2FIFP%2FAVINHS165701260625.pdf
19898FL0340091,AvMed Entrust Expanded Bronze Standard (2026),https://apps.avmed.com/Public/OHBRFileManager/DownloadFile.aspx?filePath=%2Fpresales%2FAvMed%2F2026%2FSBC%2FIFP%2FAVINHB164801260625.pdf
19898FL0350001,AvMed Entrust Gold 125 Dental+Vision (2026),https://apps.avmed.com/Public/OHBRFileManager/DownloadFile.aspx?filePath=%2Fpresales%2FAvMed%2F2026%2FSBC%2FIFP%2FAVINHG165201260625.pdf
19898FL0350003,AvMed Entrust Silver 350 Dental+Vision (2026),https://apps.avmed.com/Public/OHBRFileManager/DownloadFile.aspx?filePath=%2Fpresales%2FAvMed%2F2026%2FSBC%2FIFP%2FAVINHS165901260625.pdf
19898FL0350005,AvMed Entrust Silver 550 Dental+Vision (2026),https://apps.avmed.com/Public/OHBRFileManager/DownloadFile.aspx?filePath=%2Fpresales%2FAvMed%2F2026%2FSBC%2FIFP%2FAVINHS166101260625.pdf
19898FL0350020,AvMed Entrust Platinum 25 Dental+Vision (2026),https://apps.avmed.com/Public/OHBRFileManager/DownloadFile.aspx?filePath=%2Fpresales%2FAvMed%2F2026%2FSBC%2FIFP%2FAVINHP165501260625.pdf
21525FL0010002,Bronze Classic Standard | with AdventHealth,https://d3ul0st9g52g6o.cloudfront.net/2026/FL/sbc/2026_21525FL001000200.pdf
21525FL0010004,Bronze Classic 4700 | with AdventHealth,https://d3ul0st9g52g6o.cloudfront.net/2026/FL/sbc/2026_21525FL001000400.pdf
21525FL0010005,Bronze Elite + PCP Saver Plus | with AdventHealth,https://d3ul0st9g52g6o.cloudfront.net/2026/FL/sbc/2026_21525FL001000500.pdf
21525FL0010006,Bronze Simple Breathe Easy with Enhanced COPD Benefits,https://d3ul0st9g52g6o.cloudfront.net/2026/FL/sbc/2026_21525FL001000600.pdf
21525FL0010008,Bronze Simple Diabetes,https://d3ul0st9g52g6o.cloudfront.net/2026/FL/sbc/2026_21525FL001000800.pdf
21525FL0010010,Silver Classic Standard | with AdventHealth,https://d3ul0st9g52g6o.cloudfront.net/2026/FL/sbc/2026_21525FL001001000.pdf
21525FL0010012,Silver Elite | with AdventHealth,https://d3ul0st9g52g6o.cloudfront.net/2026/FL/sbc/2026_21525FL001001200.pdf
21525FL0010013,Silver Simple Breathe Easy with Enhanced COPD Benefits,https://d3ul0st9g52g6o.cloudfront.net/2026/FL/sbc/2026_21525FL001001300.pdf
