plan_attributes_PUF-2
StandardComponentId,PlanMarketingName,URLForSummaryofBenefitsCoverage
66966FL0050009,Capital Health Plan HMO Bronze 1100,https://capitalhealth.com/wp-content/uploads/2025/09/Bronze-1100-OffEx-2026.pdf
66966FL0050010,Capital Health Plan HMO Silver 2400,https://capitalhealth.com/wp-content/uploads/2025/09/Silver-2400-OffEx-2026-v2.pdf
67926FL0010001,AmeriHealth Caritas Next Bronze Essential + No Referrals,https://www.amerihealthcaritasnext.com/content/dam/amerihealth-caritas/acnext/pdf/fl/2026/member/plan-documents/summary-of-benefits-fl-bronze-essential-off.pdf.coredownload.inline.pdf
67926FL0010002,AmeriHealth Caritas Next Bronze Signature + No Referrals,https://www.amerihealthcaritasnext.com/content/dam/amerihealth-caritas/acnext/pdf/fl/2026/member/plan-documents/summary-of-benefits-fl-bronze-signature-off.pdf.coredownload.inline.pdf
67926FL0010003,AmeriHealth Caritas Next Silver Signature + No Referrals,https://www.amerihealthcaritasnext.com/content/dam/amerihealth-caritas/acnext/pdf/fl/2026/member/plan-documents/summary-of-benefits-fl-silver-signature-off.pdf.coredownload.inline.pdf
67926FL0010004,AmeriHealth Caritas Next Gold Signature + No Referrals,https://www.amerihealthcaritasnext.com/content/dam/amerihealth-caritas/acnext/pdf/fl/2026/member/plan-documents/summary-of-benefits-fl-gold-signature-off.pdf.coredownload.inline.pdf
67926FL0010006,AmeriHealth Caritas Next Bronze Premier + No Referrals,https://www.amerihealthcaritasnext.com/content/dam/amerihealth-caritas/acnext/pdf/fl/2026/member/plan-documents/summary-of-benefits-fl-high-bronze-premier-off.pdf.coredownload.inline.pdf
67926FL0010007,AmeriHealth Caritas Next Silver Premier + No Referrals,https://www.amerihealthcaritasnext.com/content/dam/amerihealth-caritas/acnext/pdf/fl/2026/member/plan-documents/summary-of-benefits-fl-silver-premier-off.pdf.coredownload.inline.pdf
67926FL0010008,AmeriHealth Caritas Next Silver Essential + No Referrals,https://www.amerihealthcaritasnext.com/content/dam/amerihealth-caritas/acnext/pdf/fl/2026/member/plan-documents/summary-of-benefits-fl-silver-essential-off.pdf.coredownload.inline.pdf
67926FL0010009,AmeriHealth Caritas Next Gold Premier + No Referrals,https://www.amerihealthcaritasnext.com/content/dam/amerihealth-caritas/acnext/pdf/fl/2026/member/plan-documents/summary-of-benefits-fl-gold-premier-off.pdf.coredownload.inline.pdf
68398FL0030034,"UHC Gold Copay Focus $0 Indiv Med Ded ($0 Virtual Urgent Care, $3 Tier 2 Rx)",https://www.uhc.com/ifp/sbc.68398FL0030034-00.en.2026.pdf
68398FL0030036,UHC Gold Standard,https://www.uhc.com/ifp/sbc.68398FL0030036-00.en.2026.pdf
68398FL0030040,UHC Silver Standard,https://www.uhc.com/ifp/sbc.68398FL0030040-00.en.2026.pdf
68398FL0030042,UHC Bronze Standard,https://www.uhc.com/ifp/sbc.68398FL0030042-00.en.2026.pdf
68398FL0030045,UHC Bronze Copay Focus $0 Indiv Med Ded ($0 Virtual Urgent Care),https://www.uhc.com/ifp/sbc.68398FL0030045-00.en.2026.pdf
68398FL0030046,"UHC Silver Value ($0 Virtual Urgent Care, $5 Tier 2 Rx)",https://www.uhc.com/ifp/sbc.68398FL0030046-00.en.2026.pdf
68398FL0030048,"UHC Silver Advantage ($0 Virtual Urgent Care, $5 Tier 2 Rx)",https://www.uhc.com/ifp/sbc.68398FL0030048-00.en.2026.pdf
68398FL0030057,"UHC Gold Advantage ($0 Virtual Urgent Care, $1 Tier 2 Rx)",https://www.uhc.com/ifp/sbc.68398FL0030057-00.en.2026.pdf
68398FL0030058,UHC Bronze Essential ($0 Virtual Urgent Care),https://www.uhc.com/ifp/sbc.68398FL0030058-00.en.2026.pdf
68398FL0060001,"UHC Gold Advantage+ ($0 Virtual Urgent Care, $1 Tier 2 Rx, Dental + Vision)",https://www.uhc.com/ifp/sbc.68398FL0060001-00.en.2026.pdf
68398FL0060002,"UHC Silver Advantage+ ($0 Virtual Urgent Care, $5 Tier 2 Rx, Dental + Vision)",https://www.uhc.com/ifp/sbc.68398FL0060002-00.en.2026.pdf
68398FL0060004,"UHC Silver Value+ ($0 Virtual Urgent Care, $5 Tier 2 Rx, Dental + Vision)",https://www.uhc.com/ifp/sbc.68398FL0060004-00.en.2026.pdf
68398FL0060005,UHC Silver Standard+ (Dental + Vision),https://www.uhc.com/ifp/sbc.68398FL0060005-00.en.2026.pdf
68398FL0060006,UHC Bronze Standard+ (Dental + Vision),https://www.uhc.com/ifp/sbc.68398FL0060006-00.en.2026.pdf
68398FL0060007,"UHC Bronze Copay Focus+ $0 Indiv Med Ded ($0 Virtual Urgent Care, Dental + Vision)",https://www.uhc.com/ifp/sbc.68398FL0060007-00.en.2026.pdf
68398FL0090001,UHC Bronze Essential- ($0 Virtual Urgent Care),https://www.uhc.com/ifp/sbc.68398FL0090001-00.en.2026.pdf
68398FL0090002,UHC Silver Standard-,https://www.uhc.com/ifp/sbc.68398FL0090002-00.en.2026.pdf
79850FL0020001,Partnered Care Classic Silver,https://www.cigna.com/static/www-cigna-com/docs/ifp/m-26-sbc-fl-s-79850fl0020001-00-01.pdf
79850FL0020002,Partnered Care Premier Silver,https://www.cigna.com/static/www-cigna-com/docs/ifp/m-26-sbc-fl-s-79850fl0020002-00-01.pdf
79850FL0020003,Partnered Care Premier Gold,https://www.cigna.com/static/www-cigna-com/docs/ifp/m-26-sbc-fl-g-79850fl0020003-00-01.pdf
79850FL0020005,Partnered Care Silver CMS Standard,https://www.cigna.com/static/www-cigna-com/docs/ifp/m-26-sbc-fl-s-79850fl0020005-00-01.pdf
79850FL0020006,Partnered Care Gold CMS Standard,https://www.cigna.com/static/www-cigna-com/docs/ifp/m-26-sbc-fl-g-79850fl0020006-00-01.pdf
86382FL0050005,Elite VALUE Bronze,https://api.centene.com/SBC/2026/86382FL0050005-00.pdf
86382FL0050009,Focused VALUE Silver,https://api.centene.com/SBC/2026/86382FL0050009-00.pdf
86382FL0050010,Complete VALUE Gold,https://api.centene.com/SBC/2026/86382FL0050010-00.pdf
86382FL0050014,Clarity VALUE Silver,https://api.centene.com/SBC/2026/86382FL0050014-00.pdf
86382FL0050017,Standard Expanded Bronze VALUE,https://api.centene.com/SBC/2026/86382FL0050017-00.pdf
86382FL0050018,Standard Silver VALUE,https://api.centene.com/SBC/2026/86382FL0050018-00.pdf
86382FL0050019,Standard Gold VALUE,https://api.centene.com/SBC/2026/86382FL0050019-00.pdf
